127.0.0.1, 2025-06-03 19:11:53.956226353 UTC, 3MGTNNISAPLC, false, 76,168,86, 76,188,66, 72,174,82, 80,182,70
127.0.0.1, 2025-06-03 19:11:59.587952998 UTC, 3MGTNNISAPLC, false, 25,142,10, 25,112,40, 174,174,184, 182,182,172
127.0.0.1, 2025-06-03 19:12:10.278657702 UTC, 3MGTNNISAPLC, false, 112,229,244, 142,229,214, 40,10,229, 10,40,229
127.0.0.1, 2025-06-03 19:12:14.602025217 UTC, 3MGTNNISAPLC, false, 152,204,25, 102,254,25, 178,51,101, 178,101,51
127.0.0.1, 2025-06-03 19:12:17.994724325 UTC, 3MGTNNISAPLC, true, 239,15,229, 219,35,229, 225,123,31, 233,131,19
127.0.0.1, 2025-06-03 19:12:20.897042998 UTC, 3MGTNNISAPLC, true, 121,29,131, 133,21,123, 127,5,249, 127,45,209
127.0.0.1, 2025-06-03 19:12:22.876329397 UTC, 3MGTNNISAPLC, false, 82,82,169, 70,70,187, 16,31,133, 34,19,121
127.0.0.1, 2025-06-03 19:12:24.403800614 UTC, 3MGTNNISAPLC, true, 102,152,229, 152,102,229, 40,10,229, 10,40,229
127.0.0.1, 2025-06-03 19:12:27.111370918 UTC, 3MGTNNISAPLC, false, 163,76,193, 193,76,163, 214,35,35, 244,15,15
127.0.0.1, 2025-06-03 19:12:31.593488537 UTC, 3MGTNNISAPLC, false, 5,229,147, 45,229,107, 132,229,20, 122,229,30
127.0.0.1, 2025-06-03 19:12:33.644544907 UTC, 3MGTNNISAPLC, true, 221,221,139, 237,237,115, 221,37,17, 237,13,33
127.0.0.1, 2025-06-03 19:12:35.224153736 UTC, 3MGTNNISAPLC, true, 25,254,102, 25,204,152, 168,178,86, 188,178,66
127.0.0.1, 2025-06-03 19:12:36.756032686 UTC, 3MGTNNISAPLC, true, 102,254,127, 152,204,127, 184,184,169, 172,172,187
127.0.0.1, 2025-06-03 19:12:39.889258879 UTC, 3MGTNNISAPLC, true, 15,40,15, 35,10,35, 25,35,219, 25,15,239
127.0.0.1, 2025-06-03 19:12:41.581300676 UTC, 3MGTNNISAPLC, true, 127,102,152, 127,152,102, 71,183,178, 81,173,178
